label,text
spam,"URGENT! You have won $1,000,000! Click http://fakeprize.com to claim NOW!"
spam,Congratulations! You've been selected for a free iPhone. Visit bit.ly/freeiphone
spam,Your bank account has been compromised. Verify now: http://fake-bank.com
spam,WINNER! You've won a $500 gift card. Claim here: http://giftcard-scam.com
spam,Hot singles in your area! Click now: http://dating-scam.com
spam,Make $5000 daily from home! No experience needed. Reply YES
spam,Your OTP is 123456. Share this code to verify your account urgently
spam,"Dear customer, your SBI account will be blocked. Update KYC: sbi-update.fake.com"
spam,"You've been pre-approved for a loan of $50,000! Act now before offer expires"
spam,ALERT: Suspicious activity on your card. Call +91-9999999999 immediately
spam,Free entry to win a Mercedes! Just send your details to claim
spam,Your Amazon order #12345 is stuck. Verify payment: amazon-verify.fake.com
spam,"Congratulations! You've won Rs.50,00,000 in KBC lottery. Contact now!"
spam,URGENT: Your WhatsApp will expire. Click to renew: whatsapp-renew.com
spam,You've received $1000 in Bitcoin! Claim now at crypto-prize.com
spam,Job offer: Earn $3000/week working from home. No interview needed!
spam,Your Netflix subscription failed. Update payment: netflix-billing.fake.com
spam,WINNER ALERT! You've won a free vacation to Maldives. Claim now!
spam,Exclusive investment opportunity! Double your money in 30 days guaranteed
spam,Your insurance policy is expiring! Renew now to avoid penalties
spam,FREE: Get 100GB data instantly! Just click and verify your number
spam,"Dear valued customer, verify your HDFC account: hdfc-verify.fake.com"
spam,Last chance! 90% off on all products. Limited time only!
spam,"You've been charged $499. If not you, call immediately: 1-800-FAKE"
spam,CONGRATS! Your number selected for Rs.25 lakhs prize. Send Aadhar to claim
spam,Warning: Your computer is infected! Call Microsoft support: 1-800-SCAM
spam,Exclusive offer: iPhone 15 at 99% discount! Only 10 left!
spam,Your payment of $299 is pending. Complete now or face legal action
spam,"Hi, I'm a Nigerian prince. I need your help to transfer $10 million"
spam,URGENT: IRS notice - Pay tax dues immediately or face arrest
ham,"Hey, are we still meeting for coffee tomorrow at 3pm?"
ham,Can you pick up some groceries on your way home?
ham,Happy birthday! Hope you have a great day!
ham,The meeting has been rescheduled to 4pm today
ham,Thanks for dinner last night. It was delicious!
ham,Don't forget to submit the report by Friday
ham,I'll be there in 10 minutes
ham,Can you send me the presentation slides?
ham,Movie tonight? Let me know if you're interested
ham,Your package has been delivered to your doorstep
ham,The weather looks great for the weekend trip
ham,Please review the attached document when you get a chance
ham,"Running late, traffic is terrible today"
ham,Loved the photos from your vacation!
ham,Let's catch up over lunch this week
ham,The project deadline has been extended by a week
ham,Can you help me move this Saturday?
ham,Your order has shipped and will arrive by Monday
ham,Remember to call mom on her birthday tomorrow
ham,Great job on the presentation today!
ham,I'll send you the address for the party
ham,What time does the movie start?
ham,Thanks for your help with the project
ham,See you at the gym tomorrow morning
ham,The kids are doing well at school
ham,Can you recommend a good restaurant nearby?
ham,Happy anniversary! Wishing you many more years together
ham,I've attached the invoice for your records
ham,Let me know when you're free to discuss the proposal
ham,The doctor's appointment is confirmed for Tuesday
ham,How was your weekend? Did you enjoy the concert?
ham,Please bring your ID to the meeting tomorrow
ham,"The internet is down, I'm using mobile data"
ham,I've updated the shared document with the changes
ham,Can you water my plants while I'm on vacation?
